time	V(out)	V(n003)
5.337437499611046e-05	8.014162191479296e-07	0.000000000000000e+00
5.386265624611046e-05	8.087477617230990e-07	0.000000000000000e+00
5.435093749611046e-05	8.160793042946853e-07	0.000000000000000e+00
5.483921874611046e-05	8.234108468626879e-07	0.000000000000000e+00
5.532749999611046e-05	8.307423894271071e-07	0.000000000000000e+00
5.581578124611046e-05	8.380739319879428e-07	0.000000000000000e+00
5.630406249611046e-05	8.454054745451949e-07	0.000000000000000e+00
5.679234374611046e-05	8.527370170988636e-07	0.000000000000000e+00
5.728062499611046e-05	8.600685596489489e-07	0.000000000000000e+00
5.776890624611046e-05	8.674001021954509e-07	0.000000000000000e+00
5.825718749611046e-05	8.747316447383695e-07	0.000000000000000e+00
5.874546874611046e-05	8.820631872777047e-07	0.000000000000000e+00
5.923374999611046e-05	8.893947298134567e-07	0.000000000000000e+00
5.972203124611046e-05	8.967262723456248e-07	0.000000000000000e+00
6.021031249611046e-05	9.040578148742097e-07	0.000000000000000e+00
6.069859374611047e-05	9.113893573992111e-07	0.000000000000000e+00
6.118687499611046e-05	9.187208999206291e-07	0.000000000000000e+00
6.167515624611046e-05	9.260524424384636e-07	0.000000000000000e+00
6.216343749611046e-05	9.333839849527148e-07	0.000000000000000e+00
6.265171874611046e-05	9.407155274633824e-07	0.000000000000000e+00
6.313999999611046e-05	9.480470699704666e-07	0.000000000000000e+00
6.362828124611046e-05	9.553786124739676e-07	0.000000000000000e+00
6.411656249611046e-05	9.627101549738849e-07	0.000000000000000e+00
6.460484374611046e-05	9.700416974702189e-07	0.000000000000000e+00
6.509312499611046e-05	9.773732399629697e-07	0.000000000000000e+00
6.558140624611046e-05	9.847047824521367e-07	0.000000000000000e+00
6.606968749611046e-05	9.920363249377204e-07	0.000000000000000e+00
6.655796874611046e-05	9.993678674197206e-07	0.000000000000000e+00
6.704624999611046e-05	1.006699409898138e-06	0.000000000000000e+00
6.753453124611046e-05	1.014030952372971e-06	0.000000000000000e+00
6.802281249611046e-05	1.021362494844221e-06	0.000000000000000e+00
6.851109374611047e-05	1.028694037311887e-06	0.000000000000000e+00
6.899937499611047e-05	1.036025579775970e-06	0.000000000000000e+00
6.948765624611047e-05	1.043357122236470e-06	0.000000000000000e+00
6.997593749611047e-05	1.050688664693386e-06	0.000000000000000e+00
7.046421874611047e-05	1.058020207146719e-06	0.000000000000000e+00
7.095249999611047e-05	1.065351749596468e-06	0.000000000000000e+00
7.144078124611047e-05	1.072683292042633e-06	0.000000000000000e+00
7.192906249611047e-05	1.080014834485215e-06	0.000000000000000e+00
7.241734374611047e-05	1.087346376924214e-06	0.000000000000000e+00
7.290562499611047e-05	1.094677919359630e-06	0.000000000000000e+00
7.339390624611047e-05	1.102009461791462e-06	0.000000000000000e+00
7.388218749611047e-05	1.109341004219711e-06	0.000000000000000e+00
7.437046874611047e-05	1.116672546644376e-06	0.000000000000000e+00
7.485874999611047e-05	1.124004089065458e-06	0.000000000000000e+00
7.534703124611047e-05	1.131335631482956e-06	0.000000000000000e+00
7.583531249611047e-05	1.138667173896870e-06	0.000000000000000e+00
7.632359374611047e-05	1.145998716307202e-06	0.000000000000000e+00
7.681187499611047e-05	1.153330258713949e-06	0.000000000000000e+00
7.730015624611047e-05	1.160661801117114e-06	0.000000000000000e+00
7.778843749611047e-05	1.167993343516695e-06	0.000000000000000e+00
7.827671874611047e-05	1.175324885912692e-06	0.000000000000000e+00
7.876499999611047e-05	1.182656428305107e-06	0.000000000000000e+00
7.925328124611047e-05	1.189987970693937e-06	0.000000000000000e+00
7.974156249611048e-05	1.197319513079185e-06	0.000000000000000e+00
8.022984374611048e-05	1.204651055460848e-06	0.000000000000000e+00
8.071812499611048e-05	1.211982597838929e-06	0.000000000000000e+00
8.120640624611048e-05	1.219314140213426e-06	0.000000000000000e+00
8.169468749611048e-05	1.226645682584339e-06	0.000000000000000e+00
8.218296874611048e-05	1.233977224951670e-06	0.000000000000000e+00
8.267124999611048e-05	1.241308767315416e-06	0.000000000000000e+00
8.315953124611048e-05	1.248640309675580e-06	0.000000000000000e+00
8.364781249611048e-05	1.255971852032159e-06	0.000000000000000e+00
8.413609374611048e-05	1.263303394385156e-06	0.000000000000000e+00
8.462437499611048e-05	1.270634936734569e-06	0.000000000000000e+00
8.511265624611048e-05	1.277966479080398e-06	0.000000000000000e+00
8.560093749611048e-05	1.285298021422644e-06	0.000000000000000e+00
8.608921874611048e-05	1.292629563761307e-06	0.000000000000000e+00
8.657749999611048e-05	1.299961106096387e-06	0.000000000000000e+00
8.706578124611048e-05	1.307292648427883e-06	0.000000000000000e+00
8.755406249611048e-05	1.314624190755795e-06	0.000000000000000e+00
8.804234374611048e-05	1.321955733080124e-06	0.000000000000000e+00
8.853062499611048e-05	1.329287275400870e-06	0.000000000000000e+00
8.901890624611048e-05	1.336618817718032e-06	0.000000000000000e+00
8.950718749611048e-05	1.343950360031610e-06	0.000000000000000e+00
8.999546874611048e-05	1.351281902341605e-06	0.000000000000000e+00
9.048374999611048e-05	1.358613444648016e-06	0.000000000000000e+00
9.097203124611049e-05	1.365944986950844e-06	0.000000000000000e+00
9.146031249611049e-05	1.373276529250089e-06	0.000000000000000e+00
9.194859374611049e-05	1.380608071545750e-06	0.000000000000000e+00
9.243687499611049e-05	1.387939613837829e-06	0.000000000000000e+00
9.292515624611049e-05	1.395271156126323e-06	0.000000000000000e+00
9.341343749611049e-05	1.402602698411234e-06	0.000000000000000e+00
