frequency	V(onoise)/1000
2.344228815319889e+04	6.503095239856011e-11
2.398832919019456e+04	6.497628692348003e-11
2.454708915684995e+04	6.491915257794759e-11
2.511886431509544e+04	6.485944942086693e-11
2.570395782768826e+04	6.479707389373595e-11
2.630267991895344e+04	6.473191875701322e-11
2.691534803926876e+04	6.466387303741030e-11
2.754228703338126e+04	6.459282197505753e-11
2.818382931264412e+04	6.451864698317127e-11
2.884031503126564e+04	6.444122560936795e-11
2.951209226666342e+04	6.436043151130327e-11
3.019951720401971e+04	6.427613443632799e-11
3.090295432513544e+04	6.418820021537247e-11
3.162277660168332e+04	6.409649076850685e-11
3.235936569296234e+04	6.400086412021075e-11
3.311311214825861e+04	6.390117443240356e-11
3.388441561391974e+04	6.379727205082680e-11
3.467368504525264e+04	6.368900357039422e-11
3.548133892335701e+04	6.357621191533390e-11
3.630780547700958e+04	6.345873644255383e-11
3.715352290971669e+04	6.333641306448964e-11
3.801893963205554e+04	6.320907439503654e-11
3.890451449942747e+04	6.307654991975350e-11
3.981071705534912e+04	6.293866619185326e-11
4.073802778041065e+04	6.279524705584475e-11
4.168693834703290e+04	6.264611389832008e-11
4.265795188015862e+04	6.249108593229222e-11
4.365158322401593e+04	6.232998051015579e-11
4.466835921509562e+04	6.216261346961305e-11
4.570881896148680e+04	6.198879951687755e-11
4.677351412871909e+04	6.180835264020048e-11
4.786300923226309e+04	6.162108656446425e-11
4.897788193684386e+04	6.142681523772871e-11
5.011872336272644e+04	6.122535335804742e-11
5.128613839913568e+04	6.101651693754449e-11
5.248074602497643e+04	6.080012390101425e-11
5.370317963702443e+04	6.057599472436180e-11
5.495408738576159e+04	6.034395310757305e-11
5.623413251903402e+04	6.010382668316664e-11
5.754399373371479e+04	5.985544775656604e-11
5.888436553555797e+04	5.959865408086721e-11
6.025595860743483e+04	5.933328965627205e-11
6.165950018614724e+04	5.905920555978082e-11
6.309573444801832e+04	5.877626079321231e-11
6.456542290346453e+04	5.848432315260151e-11
6.606934480075855e+04	5.818327011015723e-11
6.760829753919710e+04	5.787298970537696e-11
6.918309709189254e+04	5.755338143975841e-11
7.079457843841266e+04	5.722435716771157e-11
7.244359600749785e+04	5.688584198098232e-11
7.413102413009056e+04	5.653777507384919e-11
7.585775750291716e+04	5.618011058776339e-11
7.762471166286792e+04	5.581281842437609e-11
7.943282347242687e+04	5.543588501938354e-11
8.128305161640861e+04	5.504931407246886e-11
8.317637711026576e+04	5.465312722019581e-11
8.511380382023628e+04	5.424736464921272e-11
8.709635899560666e+04	5.383208563897308e-11
8.912509381337311e+04	5.340736902685346e-11
9.120108393558950e+04	5.297331359036299e-11
9.332543007969759e+04	5.253003833799805e-11
9.549925860214204e+04	5.207768270386665e-11
9.772372209557948e+04	5.161640664085935e-11
9.999999999999837e+04	5.114639060747441e-11
1.023292992280737e+05	5.066783544557201e-11
1.047128548050882e+05	5.018096214777773e-11
1.071519305237589e+05	4.968601150879282e-11
1.096478196143167e+05	4.918324366816397e-11
1.122018454301945e+05	4.867293753718987e-11
1.148153621496864e+05	4.815539011861396e-11
1.174897554939510e+05	4.763091571889281e-11
1.202264434617393e+05	4.709984505978451e-11
1.230268770812361e+05	4.656252429379978e-11
1.258925411794146e+05	4.601931393044925e-11
1.288249551693113e+05	4.547058768208110e-11
1.318256738556385e+05	4.491673123655949e-11
1.348962882591631e+05	4.435814096730494e-11
1.380384264602862e+05	4.379522259054538e-11
1.412537544622731e+05	4.322838977975927e-11
1.445439770745904e+05	4.265806274885508e-11
1.479108388168183e+05	4.208466681510372e-11
1.513561248436183e+05	4.150863095240138e-11
1.548816618912456e+05	4.093038634643882e-11
1.584893192461087e+05	4.035036496243064e-11
1.621810097358903e+05	3.976899813537255e-11
1.659586907437533e+05	3.918671519309784e-11
1.698243652461716e+05	3.860394212115423e-11
1.737800828749346e+05	3.802110027798136e-11
1.778279410038893e+05	3.743860516809556e-11
1.819700858609953e+05	3.685686528010936e-11
1.862087136662836e+05	3.627628099524342e-11
1.905460717963215e+05	3.569724357192051e-11
1.949844599758012e+05	3.512013420954200e-11
1.995262314968846e+05	3.454532319517451e-11
2.041737944669495e+05	3.397316913492933e-11
2.089296130854004e+05	3.340401827137456e-11
2.137962089502196e+05	3.283820388718927e-11
2.187761623949515e+05	3.227604579469590e-11
2.238721138568301e+05	3.171784990996175e-11
2.290867652767734e+05	3.116390790965460e-11
2.344228815319882e+05	3.061449696806034e-11
2.398832919019449e+05	3.006987957125541e-11
2.454708915684988e+05	2.953030340496710e-11
2.511886431509537e+05	2.899600131225673e-11
2.570395782768819e+05	2.846719131658232e-11
2.630267991895336e+05	2.794407670627711e-11
2.691534803926869e+05	2.742684617555545e-11
2.754228703338119e+05	2.691567401716019e-11
2.818382931264405e+05	2.641072036249856e-11
2.884031503126556e+05	2.591213146391478e-11
2.951209226666334e+05	2.542004001490243e-11
3.019951720401964e+05	2.493456550345001e-11
3.090295432513537e+05	2.445581459383287e-11
3.162277660168324e+05	2.398388153329985e-11
3.235936569296226e+05	2.351884857907636e-11
3.311311214825853e+05	2.306078644131251e-11
3.388441561391967e+05	2.260975473989681e-11
3.467368504525256e+05	2.216580246967973e-11
3.548133892335693e+05	2.172896847288678e-11
3.630780547700950e+05	2.129928191427156e-11
3.715352290971660e+05	2.087676275763477e-11
3.801893963205545e+05	2.046142224001100e-11
3.890451449942738e+05	2.005326334240659e-11
3.981071705534903e+05	1.965228125476632e-11
4.073802778041056e+05	1.925846383305451e-11
4.168693834703281e+05	1.887179204783719e-11
4.265795188015852e+05	1.849224042178512e-11
4.365158322401583e+05	1.811977745663722e-11
4.466835921509552e+05	1.775436604702980e-11
4.570881896148669e+05	1.739596388125057e-11
4.677351412871899e+05	1.704452382876381e-11
4.786300923226299e+05	1.669999431273218e-11
4.897788193684375e+05	1.636231966840945e-11
5.011872336272634e+05	1.603144048659648e-11
5.128613839913558e+05	1.570729394185987e-11
5.248074602497633e+05	1.538981410609970e-11
5.370317963702432e+05	1.507893224678206e-11
5.495408738576148e+05	1.477457711067483e-11
5.623413251903391e+05	1.447667519274938e-11
5.754399373371467e+05	1.418515099025099e-11
5.888436553555785e+05	1.389992724355093e-11
6.025595860743470e+05	1.362092516221713e-11
6.165950018614712e+05	1.334806463808352e-11
6.309573444801820e+05	1.308126444544029e-11
6.456542290346441e+05	1.282044242803267e-11
6.606934480075843e+05	1.256551567418536e-11
6.760829753919698e+05	1.231640068009707e-11
6.918309709189242e+05	1.207301350186677e-11
7.079457843841253e+05	1.183526989595819e-11
7.244359600749771e+05	1.160308545075183e-11
7.413102413009043e+05	1.137637570613192e-11
7.585775750291703e+05	1.115505626536483e-11
7.762471166286779e+05	1.093904289677016e-11
7.943282347242674e+05	1.072825162718945e-11
8.128305161640848e+05	1.052259882750821e-11
8.317637711026561e+05	1.032200128987112e-11
8.511380382023612e+05	1.012637629824318e-11
8.709635899560649e+05	9.935641691510905e-12
8.912509381337294e+05	9.749715920537639e-12
9.120108393558932e+05	9.568518098902771e-12
9.332543007969741e+05	9.391968048045648e-12
9.549925860214186e+05	9.219986337172439e-12
9.772372209557928e+05	9.052494317863814e-12
1.000000000000000e+06	8.889414154612886e-12
